,name,longitude,latitude
0,Palazzo Zuckermann,11°52′41.23″E,45°24′41.65″N
1,Palazzo Angeli (Padova),11°52′32.02″E,45°24′00.65″N
2,Palazzo del Bo,11°52′38.78″E,45°24′24.16″N
3,Palazzo Capodilista,11°52′32.6″E,45°24′04.96″N
4,Centro culturale Altinate/San Gaetano,11°52′54.12″E,45°24′31.32″N
5,Chiesa di Sant'Eufemia (Padova),11°53′11.32″E,45°24′25.27″N
6,Palazzo delle Debite,11°52′27.95″E,45°24′25.96″N
7,Palazzo Liviano,11°52′16.61″E,45°24′28.73″N
8,Palazzo Maldura,11°52′22.22″E,45°24′47.23″N
9,Palazzo del Monte di Pietà Nuovo,11°52′20.75″E,45°24′25.74″N
10,Palazzo del Monte di Pietà Vecchio,11°52′24.24″E,45°24′33.12″N
11,Palazzo Cavalli alle Porte Contarine,11°52′41.99″E,45°24′44.57″N
12,Palazzo Comunale (Padova),11°52′33.34″E,45°24′25.73″N
13,Palazzo della Ragione (Padova),11°52′31″E,45°24′26″N
14,Palazzo Grimani (Padova),11°52′28.6″E,45°23′51.4″N
15,Palazzo Mussato,11°52′07.61″E,45°24′22.32″N
16,Palazzo Pisani de Lazzara,11°52′03.65″E,45°24′27.14″N
17,Palazzo Zabarella,11°52′45.16″E,45°24′21.56″N
